configuration_id;configuration;configuration_product_id;horizon;is_mix;is_reference_route;configuration_active;data_source_id;configuration_abbreviation;configuration_description;configuration_remark;configuration_source;configuration_year;mix_2018;mix_2030;mix_2040;mix_2050
0;EU-mix-2018;0;2018;1;1;1;0;AC/CF/CGM/DPK/RMDR;Air cooling,Combustion Furnace,Cement grinding mill,Dry process kilns,Raw mill double rotator;NULL;NULL;2018;1;0;0;0
1;CEM1-(Coal);1;NULL;0;0;1;0;DPK/RMDR/CGM/CF;Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace;NULL;NULL;2018;0;0;0;0
2;CEM1-(Coal)MEA;1;NULL;0;0;1;0;DPK/RMDR/CGM/CF/CM-MEA;Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Monoethanolamine Carbon Capture;NULL;NULL;2018;0;0;0;0
3;CEM1-(Coal)CaL;1;NULL;0;0;1;0;DPK/RMDR/CGM/CF/CaL;Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Calcium looping;NULL;NULL;2018;0;0;0;0
4;CEM1-(Coal)Oxy-MEA;1;NULL;0;0;1;0;DPK/RMDR/CGM/CF/ASU/CM-MEA;Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Cryogenic air separation unit,Monoethanolamine Carbon Capture;NULL;NULL;2018;0;0;0;0
5;CEM1-(Coal)Oxy-CaL;1;NULL;0;0;1;0;DPK/RMDR/CGM/CF/ASU/CaL;Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Cryogenic air separation unit,Calcium looping;NULL;NULL;2018;0;0;0;0
6;CEM1-(NG);1;NULL;0;0;1;0;DPK/RMDR/CGM/CF;Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace;NULL;NULL;2018;0;0;0;0
7;CEM1-(NG)MEA;1;NULL;0;0;1;0;DPK/RMDR/CGM/CF/CM-MEA;Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Monoethanolamine Carbon Capture;NULL;NULL;2018;0;0;0;0
8;CEM1-(NG)CaL;1;NULL;0;0;1;0;DPK/RMDR/CGM/CF/CaL;Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Calcium looping;NULL;NULL;2018;0;0;0;0
9;CEM1-(NG)Oxy-MEA;1;NULL;0;0;1;0;DPK/RMDR/CGM/CF/ASU/CM-MEA;Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Cryogenic air separation unit,Monoethanolamine Carbon Capture;NULL;NULL;2018;0;0;0;0
10;CEM1-(NG)Oxy-CaL;1;NULL;0;0;1;0;DPK/RMDR/CGM/CF/ASU/CaL;Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Cryogenic air separation unit,Calcium looping;NULL;NULL;2018;0;0;0;0
11;CEM1-(Afm);1;NULL;0;0;1;0;DPK/RMDR/CGM/CF/AC;Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Air cooling;NULL;NULL;2018;0;0;0;0
12;CEM1-(Afm)MEA;1;NULL;0;0;1;0;DPK/RMDR/CGM/CF/CM-MEA;Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Monoethanolamine Carbon Capture;NULL;NULL;2018;0;0;0;0
13;CEM1-(Afm)CaL;1;NULL;0;0;1;0;DPK/RMDR/CGM/CF/CaL/AC;Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Calcium looping,Air cooling;NULL;NULL;2018;0;0;0;0
14;CEM1-(Afm)Oxy-MEA;1;NULL;0;0;1;0;DPK/RMDR/CGM/CF/ASU/CM-MEA;Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Cryogenic air separation unit,Monoethanolamine Carbon Capture;NULL;NULL;2018;0;0;0;0
15;CEM1-(Afm)Oxy-CaL;1;NULL;0;0;1;0;DPK/RMDR/CGM/CF/ASU/CaL/AC;Dry process kilns,Raw mill double rotator,Cement grinding mill,Combustion Furnace,Cryogenic air separation unit,Calcium looping,Air cooling;NULL;NULL;2018;0;0;0;0
