sector_id,to_node,Industry,unit,life
ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-alternative,yr,30
chemical,other-chemicals,other-chemicals-production-alternative,yr,30
chemical,pharmaceuticals,pharmaceuticals-production-alternative,yr,30
food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-alternative,yr,30
machinery-equipment,machinery-equipment,machinery-equipment-production-alternative,yr,30
non-ferrous-metals,alumina,alumina-production-alternative,yr,30
non-ferrous-metals,aluminium-primary,aluminium-primary-production-alternative,yr,30
non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-alternative,yr,30
non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-alternative,yr,30
other-industrial-sectors,other-industrial-sectors,other-industrial-sectors_production-alternative,yr,30
pulp-and-paper,paper,paper-production-alternative,yr,30
pulp-and-paper,printing-and-media,printing-and-media-production-alternative,yr,30
pulp-and-paper,pulp,pulp-production-alternative,yr,30
textiles-and-leather,leather-and-textile,leather-and-textile-production-alternative,yr,30
transport-equipment,transport-equipment,transport-equipment-production-alternative,yr,30
wood-and-wood-products,wood-and-wood-products,wood-and-wood-products_production-alternative,yr,30
