country_code,sector_id,to_node,Industry,actual_capacity,unit_capacity,conversion_production,actual_capacity_converted,unit,2018
AT,chemical,other-chemicals,other-chemicals-production-reference,563.2926613785368,kt ethylene eq.,1.0,563.2926613785368,kt_ethylene_eq_yr,563.2926613785368
AT,chemical,pharmaceuticals,pharmaceuticals-production-reference,165.1334965456764,kt ethylene eq.,1.0,165.1334965456764,kt_ethylene_eq_yr,165.1334965456764
AT,food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-reference,11254.680021736443,TJ,277.78,3126325.016437949,mwh_yr,3126325.016437949
AT,machinery-equipment,machinery-equipment,machinery-equipment-production-reference,12623.14963113264,TJ,277.78,3506458.5045360243,mwh_yr,3506458.5045360243
AT,non-ferrous-metals,alumina,alumina-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
AT,non-ferrous-metals,aluminium-primary,aluminium-primary-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
AT,non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-reference,401.531081620984,kt,1.0,401.531081620984,kt_yr,401.531081620984
AT,non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-reference,433.8333333333333,kt lead eq.,1.0,433.8333333333333,kt_lead_eq_yr,433.8333333333333
AT,ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-reference,11865.67365422339,kt bricks eq.,1.0,11865.67365422339,kt_bricks_eq_yr,11865.67365422339
AT,other-industrial-sectors,other-industrial-sectors,other-industrial-sectors_production-reference,10831.200319360974,TJ,277.78,3008690.824712091,mwh_yr,3008690.824712091
AT,pulp-and-paper,paper,paper-production-reference,5065.26,kt,1.0,5065.26,kt_yr,5065.26
AT,pulp-and-paper,printing-and-media,printing-and-media-production-reference,235.6580000000002,kt paper eq.,1.0,235.6580000000002,kt_paper_eq_yr,235.6580000000002
AT,pulp-and-paper,pulp,pulp-production-reference,2004.48,kt,1.0,2004.48,kt_yr,2004.48
AT,textiles-and-leather,leather-and-textile,leather-and-textile-production-reference,1358.4966566416974,TJ,277.78,377363.20128193067,mwh_yr,377363.20128193067
AT,transport-equipment,transport-equipment,transport-equipment-production-reference,3395.168657934153,TJ,277.78,943109.949800949,mwh_yr,943109.949800949
AT,wood-and-wood-products,wood-and-wood-products,wood-and-wood-products_production-reference,10833.442239556229,TJ,277.78,3009313.5853039287,mwh_yr,3009313.5853039287
BE,chemical,other-chemicals,other-chemicals-production-reference,776.6163944199163,kt ethylene eq.,1.0,776.6163944199163,kt_ethylene_eq_yr,776.6163944199163
BE,chemical,pharmaceuticals,pharmaceuticals-production-reference,342.5337652261748,kt ethylene eq.,1.0,342.5337652261748,kt_ethylene_eq_yr,342.5337652261748
BE,food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-reference,34569.55181614487,TJ,277.78,9602730.103488721,mwh_yr,9602730.103488721
BE,machinery-equipment,machinery-equipment,machinery-equipment-production-reference,6495.43808269879,TJ,277.78,1804302.7906120697,mwh_yr,1804302.7906120697
BE,non-ferrous-metals,alumina,alumina-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
BE,non-ferrous-metals,aluminium-primary,aluminium-primary-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
BE,non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
BE,non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-reference,2010.722367340461,kt lead eq.,1.0,2010.722367340461,kt_lead_eq_yr,2010.722367340461
BE,ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-reference,12772.2053006968,kt bricks eq.,1.0,12772.2053006968,kt_bricks_eq_yr,12772.2053006968
BE,other-industrial-sectors,other-industrial-sectors,other-industrial-sectors_production-reference,9294.51654247299,TJ,277.78,2581830.8051681467,mwh_yr,2581830.8051681467
BE,pulp-and-paper,paper,paper-production-reference,1699.566600489988,kt,1.0,1699.566600489988,kt_yr,1699.566600489988
BE,pulp-and-paper,printing-and-media,printing-and-media-production-reference,699.3296349135492,kt paper eq.,1.0,699.3296349135492,kt_paper_eq_yr,699.3296349135492
BE,pulp-and-paper,pulp,pulp-production-reference,514.9772434029182,kt,1.0,514.9772434029182,kt_yr,514.9772434029182
BE,textiles-and-leather,leather-and-textile,leather-and-textile-production-reference,3326.7113592603964,TJ,277.78,924093.8813753529,mwh_yr,924093.8813753529
BE,transport-equipment,transport-equipment,transport-equipment-production-reference,2598.892701201319,TJ,277.78,721920.4145397024,mwh_yr,721920.4145397024
BE,wood-and-wood-products,wood-and-wood-products,wood-and-wood-products_production-reference,5243.286383058747,TJ,277.78,1456480.0914860584,mwh_yr,1456480.0914860584
BG,chemical,other-chemicals,other-chemicals-production-reference,914.0932034161731,kt ethylene eq.,1.0,914.0932034161731,kt_ethylene_eq_yr,914.0932034161731
BG,chemical,pharmaceuticals,pharmaceuticals-production-reference,76.16325225062657,kt ethylene eq.,1.0,76.16325225062657,kt_ethylene_eq_yr,76.16325225062657
BG,food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-reference,5534.082600416555,TJ,277.78,1537257.4647437104,mwh_yr,1537257.4647437104
BG,machinery-equipment,machinery-equipment,machinery-equipment-production-reference,3121.0452172893356,TJ,277.78,866963.9404586316,mwh_yr,866963.9404586316
BG,non-ferrous-metals,alumina,alumina-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
BG,non-ferrous-metals,aluminium-primary,aluminium-primary-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
BG,non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-reference,8.421273316366593,kt,1.0,8.421273316366593,kt_yr,8.421273316366593
BG,non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-reference,460.6666666666667,kt lead eq.,1.0,460.6666666666667,kt_lead_eq_yr,460.6666666666667
BG,ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-reference,5810.81957163433,kt bricks eq.,1.0,5810.81957163433,kt_bricks_eq_yr,5810.81957163433
BG,other-industrial-sectors,other-industrial-sectors,other-industrial-sectors_production-reference,5536.387092158877,TJ,277.78,1537897.6064598926,mwh_yr,1537897.6064598926
BG,pulp-and-paper,paper,paper-production-reference,394.06,kt,1.0,394.06,kt_yr,394.06
BG,pulp-and-paper,printing-and-media,printing-and-media-production-reference,42.78300000000004,kt paper eq.,1.0,42.78300000000004,kt_paper_eq_yr,42.78300000000004
BG,pulp-and-paper,pulp,pulp-production-reference,231.23,kt,1.0,231.23,kt_yr,231.23
BG,textiles-and-leather,leather-and-textile,leather-and-textile-production-reference,1093.6327162745054,TJ,277.78,303789.29592673207,mwh_yr,303789.29592673207
BG,transport-equipment,transport-equipment,transport-equipment-production-reference,427.3396370150288,TJ,277.78,118706.4043700347,mwh_yr,118706.4043700347
BG,wood-and-wood-products,wood-and-wood-products,wood-and-wood-products_production-reference,1631.2997534928872,TJ,277.78,453142.4455252542,mwh_yr,453142.4455252542
CY,chemical,other-chemicals,other-chemicals-production-reference,4.33016097774867,kt ethylene eq.,1.0,4.33016097774867,kt_ethylene_eq_yr,4.33016097774867
CY,chemical,pharmaceuticals,pharmaceuticals-production-reference,6.701399710051626,kt ethylene eq.,1.0,6.701399710051626,kt_ethylene_eq_yr,6.701399710051626
CY,food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-reference,837.028513223757,TJ,277.78,232509.7804032952,mwh_yr,232509.7804032952
CY,machinery-equipment,machinery-equipment,machinery-equipment-production-reference,42.319830782996874,TJ,277.78,11755.60259490087,mwh_yr,11755.60259490087
CY,non-ferrous-metals,alumina,alumina-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
CY,non-ferrous-metals,aluminium-primary,aluminium-primary-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
CY,non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
CY,non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-reference,0.0,kt lead eq.,1.0,0.0,kt_lead_eq_yr,0.0
